Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
118,1702049271.3970811,-877054,-1105664,-877054,-1105664,120.34716629929984,576.9747343349288,134.44829859238445,644.5791267673206,zMax,CMJ,double,both,1.6775732040405271
119,1702049271.4113011,-877537,-1105870,-877537,-1105870,120.406837244306,577.260811927789,134.474287282258,644.7037231155073,zMax,CMJ,double,both,1.6917932033538818
120,1702049271.425726,-877705,-1105963,-877705,-1105963,120.42759235561248,577.3603171774795,134.48602004030772,644.7599729231839,zMax,CMJ,double,both,1.7062180042266846
121,1702049271.4398878,-877545,-1105965,-877545,-1105965,120.40782558293962,577.2655502730123,134.48627235768512,644.7611825964672,zMax,CMJ,double,both,1.7203798294067385
122,1702049271.4542332,-875920,-1104832,-875920,-1104832,120.207069297981,576.303073899518,134.34333456338055,644.0759026814404,zMax,CMJ,double,both,1.7347252368927002
123,1702049271.468365,-875604,-1104018,-875604,-1104018,120.16802992195214,576.1159092631955,134.2406413907734,643.5835656551104,zMax,CMJ,double,both,1.748857021331787
124,1702049271.482833,-875372,-1103557,-875873,-1103557,120.20126280850836,576.2752361213307,134.18248223527965,643.3047359632947,zMax,CMJ,double,both,1.7633249759674072
125,1702049271.495424,-101,-1103375,-876143,-1103375,120.2346192373938,576.4351552726191,134.15952135393505,643.1946556945084,zMax,CMJ,double,both,1.7759160995483398
126,1702049271.510027,-876620,-1104299,-876412,-1104299,120.26785212395002,576.5944821307545,134.27609198229996,643.7535247514235,zMax,CMJ,double,both,1.7905189990997314
127,1702049271.524197,-876682,-1104769,-876682,-1104769,120.30120855283543,576.7544012820427,134.33538656599205,644.0377979730144,zMax,CMJ,double,both,1.8046891689300537
128,1702049271.538461,-876369,-1104628,-876369,-1104628,120.2625398037942,576.5690135251789,134.3175981908844,643.952516006537,zMax,CMJ,double,both,1.818953037261963
129,1702049271.552524,-876146,-1104534,-876146,-1104534,120.2349898643814,576.4369321520778,134.305739274146,643.8956613622189,zMax,CMJ,double,both,1.8330161571502688
130,1702049271.566908,-875567,-1104490,-875567,-1104490,120.16345885577154,576.0939944165374,134.30018829184291,643.8690485499849,zMax,CMJ,double,both,1.8473999500274656
131,1702049271.58122,-875357,-1104581,-875357,-1104581,120.13751496663842,575.9696128544243,134.31166873251522,643.924088684378,zMax,CMJ,double,both,1.8617122173309328
